Riesel test numbers,,,,,No Jacobi cache    ,,,,,,,Jacobi cache    ,,,,,,,Cache advantage,,,,,
h * 2^n-1,,,,,Average Jacobi ops to find 1st v(1),,,,,,,Average Jacobi ops to find 1st v(1),,,,,,,Jacobi cache / No Jacobi cache,,,,,
"[ n, n+1000 )",,"h = 3*base_n  [ h, h+6000 )",,,search starting at 3,,sorted by v(1),,reverse sort by freq,,,search starting at 3,,sorted by v(1),,reverse sort by freq,,,search starting at 3,,sorted by v(1),,reverse sort by freq,
base_n,n_beyond,hase_h,h_beyond,,integer search  1st v(1),odd search 1st v(1),known 1st v(1),odd known 1st v(1),known 1st v(1),odd known 1st v(1),,integer search  1st v(1),odd search 1st v(1),known 1st v(1),odd known 1st v(1),known 1st v(1),odd known 1st v(1),,integer search  1st v(1),odd search 1st v(1),known 1st v(1),odd known 1st v(1),known 1st v(1),odd known 1st v(1)
4194304,4195304,12582912,12588912,,9.878,5.900,4.926,4.875,4.864,4.852,,7.559,4.620,4.433,4.364,4.369,4.350,,1.3068,1.2771,1.1112,1.1171,1.1133,1.1154
4331116,4332116,12993348,12999348,,9.884,5.898,4.929,4.875,4.868,4.852,,7.561,4.618,4.435,4.363,4.371,4.349,,1.3072,1.2772,1.1114,1.1174,1.1137,1.1157
4885002,4886002,14655006,14661006,,9.873,5.892,4.923,4.871,4.862,4.847,,7.555,4.615,4.431,4.359,4.367,4.345,,1.3068,1.2767,1.1110,1.1175,1.1134,1.1155
5209020,5210020,15627060,15633060,,9.867,5.891,4.922,4.871,4.861,4.847,,7.551,4.614,4.430,4.359,4.366,4.345,,1.3067,1.2768,1.1111,1.1175,1.1134,1.1155
6286862,6287862,18860586,18866586,,9.891,5.901,4.930,4.877,4.869,4.853,,7.565,4.620,4.436,4.363,4.373,4.349,,1.3075,1.2773,1.1114,1.1178,1.1134,1.1159
7676777,7677777,23030331,23036331,,9.878,5.897,4.925,4.874,4.863,4.849,,7.557,4.617,4.432,4.361,4.367,4.346,,1.3071,1.2772,1.1112,1.1176,1.1136,1.1157
8388608,8389608,25165824,25171824,,9.880,5.901,4.926,4.876,4.865,4.852,,7.559,4.621,4.434,4.364,4.370,4.350,,1.3071,1.2770,1.1110,1.1173,1.1133,1.1154
Standard Deviation,,,,,0.008,0.004,0.003,0.002,0.003,0.003,,0.004,0.003,0.002,0.002,0.003,0.002,,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002
,,,,,,,,,,,,,,,,,,,,,,,,
Average Jacobi ops to find 1st v(1),,,,,9.879,5.897,4.926,4.874,4.865,4.850,,7.558,4.618,4.433,4.362,4.369,4.348,,1.3070,1.2770,1.1112,1.1174,1.1134,1.1156
Validated Riesel primes,,,,,10.404,6.202,5.140,5.025,5.044,5.008,,7.789,4.733,4.612,4.484,4.520,4.482,,1.3357,1.3104,1.1145,1.1207,1.1159,1.1174
,,,,,,,,,,,,,,,,,,,,,,,,
All of the above Riesel numbers,,,,,9.885,5.901,4.928,4.876,4.867,4.852,,7.561,4.619,4.435,4.364,4.371,4.349,,1.3074,1.2775,1.1112,1.1173,1.1135,1.1157
,,,,,,,,,,,,,,,,,,,,,,,,
Known 1st v(1) sorted by v(1)  -  even in BOLD,,,,,"3, 5, 9, 11, 15, 17, 20, 21, 27, 29, 32, 35, 36, 39, 41, 44, 45, 49, 51, 55, 56, 57, 59, 65, 66, 67, 69, 71, 72, 74, 77, 80, 81, 84, 87, 90, 95, 99, 101, 104, 105, 109, 111, 116, 125, 135",,,,,,,,,,,,,,,,,,,
Odd Known 1st v(1) sorted by v(1),,,,,"3, 5, 9, 11, 15, 17, 21, 27, 29, 31, 35, 39, 41, 45, 49, 51, 53, 55, 57, 59, 65, 67, 69, 71, 77, 81, 83, 85, 87, 95, 99, 101, 105, 107, 109, 111, 125, 129, 135, 139, 141, 149, 155, 165",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Known 1st v(1) rev sorted by freq  -  out of order in red,,,,,"3, 5, 9, 11, 15, 17, 21, 29, 20, 27, 35, 36, 39, 41, 45, 32, 51, 44, 56, 49, 59, 57, 65, 55, 69, 71, 77, 66, 81, 95, 72, 80, 67, 99, 84, 74, 90, 104, 105, 87, 116, 101, 109, 125, 111, 135",,,,,,,,,,,,,,,,,,,
Odd Known 1st v(1) rev sorted by freq  -  out of order in red,,,,,"3, 5, 9, 11, 15, 17, 21, 29, 27, 35, 39, 41, 31, 45, 51, 55, 49, 59, 69, 71, 57, 65, 85, 81, 95, 99, 77, 53, 67, 105, 101, 109, 125, 87, 129, 83, 111, 155, 107, 135, 139, 141, 149, 165",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Validated primes 1st v(1) rev sorted by freq  -  out of order in red,,,,,"3, 5, 9, 11, 15, 17, 21, 27, 29, 35, 39, 41, 45, 51, 57, 59, 65, 69, 81",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sample Jacobi line,,,,,3248337 4331118 ++++-+0++-0+-0-+-++-000++-+0--++0-0+-+---0-0-0++0+--++00+----+0++0+-00-++-++0-+-+-+0+--0--00++-++00++-+-0+-++0-0++0---0-0--+-0-+-+-00+---0-0+-0+++0-++++-0--+++-0++-0+-,,,,,,,,,,,,,,,,,,,
